Emp_ID,EMP_DEPARTMENT,Emp_F_NAME,Emp_L_NAME,EMP_DOB,EMP_MOTHR_NAME,EMP_CNIC,EMP_CHILD,EMP_MARITAL_ST,EMP_LST_SAL,EMP_EXPECTED_SAL,EMP_CURR_SAL,EMP_FINANCING_AMT,EMP_PROFUN_PERC,EMP_CAP_COST,EMP_SAL_PER_HOUR,REC_UPD_CURR,,,,,,,,
EMP_01,SALES_FORCE,Muhammad,Ahmed,5/21/1989,Farah,42101-71595731-4121229,2,Married,5000,6500,5750,12500,10,10000,7,1,6,11,8,5,9,5,22,1
EMP_02,SALES_FORCE,Abubakar,Siddiqui,9/22/1990,Bano,42101-4121229-19171423,3,Married,5000,6500,5750,0,10,10000,7,1,,,,,,,,
EMP_03,SALES_FORCE,Umar,Aslam,2/23/1992,Sara,42101-19171423-51492789,2,Married,5000,6500,5750,12500,10,10000,7,1,,,,,,,,
EMP_11,SALES_FORCE,Usman,Irfan,5/25/1987,Sana,42101-51492789-93272511,2,Married,4000,5200,4600,10000,10,10000,5,1,,,,,,,,
EMP_12,SALES_FORCE,Ali,Murtaza,11/24/1992,Arifa,42101-93272511-12239812,0,Single,4000,5200,4600,0,10,10000,5,1,,,,,,,,
EMP_13,SALES_FORCE,Hamza,Shakeel,3/26/1991,Samina,42101-12239812-910109,4,Married,4000,5200,4600,0,10,10000,5,1,,,,,,,,
EMP_21,SALES_FORCE,Yousuf,siddiqui,7/30/1977,Seema,42101-910109-21875493,2,Married,7000,9100,8050,17500,10,10000,9,1,,,,,,,,
EMP_22,SALES_FORCE,Ibrahim,Anas,4/30/1982,Zainab,42101-21875493-1287864,2,Married,7000,9100,8050,17500,10,10000,9,1,,,,,,,,
EMP_23,SALES_FORCE,Suleman,Fahad,9/30/1987,Saima,42101-1287864-61101198,1,Married,7000,9100,8050,0,10,10000,9,1,,,,,,,,
EMP_31,SALES_FORCE,Hamdan,Anwar,12/01/1986,Maham,42101-61101198-10873348,4,Married,12000,15600,13800,30000,10,10000,16,1,,,,,,,,
EMP_32,SALES_FORCE,Mahad,Asrar,12/30/1992,Saira,42101-10873348-52326984,1,Married,12000,15600,13800,0,10,10000,16,1,,,,,,,,
EMP_33,SALES_FORCE,Ansar,Alam,1/31/1994,Zubaida,42101-52326984-932658,0,Single,12000,15600,13800,30000,10,10000,16,1,,,,,,,,
